feature_name,organism,gene_symbol,is_current
A4Q9F6,mus musculus,Ttll13,1
A4QPC6,mus musculus,Btn2a2,1
A4UUI3,mus musculus,Gbp4,1
A5D6P3,mus musculus,Abcc1,1
A6H5Y3,mus musculus,Mtr,1
A6H630,mus musculus,Dcph1,1
A6H667,mus musculus,Prkcq,1
A6H687,mus musculus,Sac3d1,1
A6H6A9,mus musculus,Rabgap1l,1
A6H6E2,mus musculus,Mmrn2,1
A6H8H2,mus musculus,Dennd4c,1
A6H8H5,mus musculus,Kcnb2,1
A6PWV3,mus musculus,Izumo3,1
A6X8Z5,mus musculus,Arhgap31,1
A6X935,mus musculus,Itih4,1
A7L9Z8,mus musculus,Atp2c2,1
A7M7C7,mus musculus,Skor2,1
A7MCT6,mus musculus,Etnk2,1
A7RDN6,mus musculus,Rnls,1
A7TZE6,mus musculus,Skint1,1
A7VL18,mus musculus,Aldh9a1,1
A8E0Y8,mus musculus,Cd101,1
A8VU90,mus musculus,Ankle1,1
A9Q751,mus musculus,Cfap221,1
B0F2B4,mus musculus,Nlgn4l,1
B0V2N1,mus musculus,Ptprs,1
B1AQ75,mus musculus,Krt36,1
B1AQJ2,mus musculus,Usp36,1
B1AR28,mus musculus,Acadvl,1
B1ARD8,mus musculus,Slfn8,1
B1AS29,mus musculus,Grik3,1
B1ASB6,mus musculus,Spocd1,1
B1ASP2,mus musculus,Jak1,1
B1ATG9,mus musculus,Trabd2b,1
B1AU25,mus musculus,Aifm1,1
B1AU42,mus musculus,Cdkl3,1
B1AUE5,mus musculus,Pex10,1
B1AUH1,mus musculus,Ptpru,1
B1AUS6,mus musculus,Slc25a54,1
B1AVY7,mus musculus,Kif16b,1
B1AWC9,mus musculus,Pde4b,1
B1AWL2,mus musculus,Znf462,1
B1AWN4,mus musculus,Atp10b,1
B1AWN6,mus musculus,Scn2a,1
B1AWS8,mus musculus,Tek,1
B1AXD8,mus musculus,Akirin2,1
B1AXJ4,mus musculus,Lrp8,1
B1AXV0,mus musculus,Frrs1l,1
B1AY10,mus musculus,Nfx1,1
B1AY15,mus musculus,Usp51,1
B1AYL1,mus musculus,Scn7a,1
B1AZ99,mus musculus,Otud3,1
B1AZI6,mus musculus,Thoc2,1
B1AZP2,mus musculus,Dlgap4,1
B1B0V2,mus musculus,Ezhip,1
B1B1A8,mus musculus,Mylk,1
B2KF05,mus musculus,Brpf3,1
B2MWM9,mus musculus,Calr,1
B2RPV6,mus musculus,Mmrn1,1
B2RPW6,mus musculus,Smad7,1
B2RPY5,mus musculus,Gpr161,1
B2RQ57,mus musculus,Abl2,1
B2RQC6,mus musculus,Cad,1
B2RQL2,mus musculus,Stox1,1
B2RQR8,mus musculus,Ece2,1
B2RQY9,mus musculus,St6gal2,1
B2RR30,mus musculus,Kat2b,1
B2RR83,mus musculus,Ythdc2,1
B2RRD7,mus musculus,Brpf1,1
