feature_name,organism,gene_symbol,is_current
Q8N961,homo sapiens,ABTB2,1
A6QL63,homo sapiens,ABTB3,1
Q13085,homo sapiens,ACACA,1
O00763,homo sapiens,ACACB,1
Q9UKU7,homo sapiens,ACAD8,1
Q9H845,homo sapiens,ACAD9,1
P28330,homo sapiens,ACADL,1
P11310,homo sapiens,ACADM,1
P16219,homo sapiens,ACADS,1
P49748,homo sapiens,ACADV,1
Q15027,homo sapiens,ACAP1,1
Q15057,homo sapiens,ACAP2,1
Q96P50,homo sapiens,ACAP3,1
O00400,homo sapiens,ACATN,1
Q8NC06,homo sapiens,ACBD4,1
Q5T8D3,homo sapiens,ACBD5,1
Q9BR61,homo sapiens,ACBD6,1
Q8N6N7,homo sapiens,ACBD7,1
Q96GR2,homo sapiens,ACBG1,1
Q5FVE4,homo sapiens,ACBG2,1
P07108,homo sapiens,ACBP,1
Q6JQN1,homo sapiens,ACD10,1
Q709F0,homo sapiens,ACD11,1
P45954,homo sapiens,ACDSB,1
Q96AP0,homo sapiens,ACD,1
Q9BYF1,homo sapiens,ACE2,1
Q8TDN7,homo sapiens,ACER1,1
Q5QJU3,homo sapiens,ACER2,1
Q9NUN7,homo sapiens,ACER3,1
P22303,homo sapiens,ACES,1
P12821,homo sapiens,ACE,1
Q9GZZ6,homo sapiens,ACH10,1
Q15822,homo sapiens,ACHA2,1
P32297,homo sapiens,ACHA3,1
P43681,homo sapiens,ACHA4,1
P30532,homo sapiens,ACHA5,1
Q15825,homo sapiens,ACHA6,1
P36544,homo sapiens,ACHA7,1
Q9UGM1,homo sapiens,ACHA9,1
P02708,homo sapiens,ACHA,1
P17787,homo sapiens,ACHB2,1
Q05901,homo sapiens,ACHB3,1
P30926,homo sapiens,ACHB4,1
P11230,homo sapiens,ACHB,1
Q07001,homo sapiens,ACHD,1
Q04844,homo sapiens,ACHE,1
P07510,homo sapiens,ACHG,1
Q9UKV3,homo sapiens,ACINU,1
Q07912,homo sapiens,ACK1,1
Q6P4H8,homo sapiens,ACKMT,1
Q16570,homo sapiens,ACKR1,1
O00590,homo sapiens,ACKR2,1
P25106,homo sapiens,ACKR3,1
Q9NPB9,homo sapiens,ACKR4,1
Q5JWF8,homo sapiens,ACL10,1
O96019,homo sapiens,ACL6A,1
O94805,homo sapiens,ACL6B,1
Q9Y615,homo sapiens,ACL7A,1
Q9Y614,homo sapiens,ACL7B,1
P53396,homo sapiens,ACLY,1
P11229,homo sapiens,ACM1,1
P08172,homo sapiens,ACM2,1
P20309,homo sapiens,ACM3,1
P08173,homo sapiens,ACM4,1
P08912,homo sapiens,ACM5,1
Q8TDX5,homo sapiens,ACMSD,1
Q8WXI4,homo sapiens,ACO11,1
Q8WYK0,homo sapiens,ACO12,1
Q9NPJ3,homo sapiens,ACO13,1
P21399,homo sapiens,ACOHC,1
Q99798,homo sapiens,ACON,1
Q86TX2,homo sapiens,ACOT1,1
P49753,homo sapiens,ACOT2,1
Q8N9L9,homo sapiens,ACOT4,1
Q3I5F7,homo sapiens,ACOT6,1
O14734,homo sapiens,ACOT8,1
Q9Y305,homo sapiens,ACOT9,1
Q15067,homo sapiens,ACOX1,1
Q99424,homo sapiens,ACOX2,1
O15254,homo sapiens,ACOX3,1
Q9NUZ1,homo sapiens,ACOXL,1
Q6ZNF0,homo sapiens,ACP7,1
P13798,homo sapiens,ACPH,1
O14561,homo sapiens,ACPM,1
Q8NEB7,homo sapiens,ACRBP,1
P10323,homo sapiens,ACRO,1
Q08AH3,homo sapiens,ACS2A,1
Q68CK6,homo sapiens,ACS2B,1
Q9NUB1,homo sapiens,ACS2L,1
Q9NR19,homo sapiens,ACSA,1
Q96CM8,homo sapiens,ACSF2,1
Q4G176,homo sapiens,ACSF3,1
Q4L235,homo sapiens,ACSF4,1
P33121,homo sapiens,ACSL1,1
O95573,homo sapiens,ACSL3,1
O60488,homo sapiens,ACSL4,1
Q9ULC5,homo sapiens,ACSL5,1
Q9UKU0,homo sapiens,ACSL6,1
Q08AH1,homo sapiens,ACSM1,1
Q53FZ2,homo sapiens,ACSM3,1
P0C7M7,homo sapiens,ACSM4,1
Q6NUN0,homo sapiens,ACSM5,1
Q6P461,homo sapiens,ACSM6,1
Q9H6R3,homo sapiens,ACSS3,1
P62736,homo sapiens,ACTA,1
Q562R1,homo sapiens,ACTBL,1
Q9BYX7,homo sapiens,ACTBM,1
P60709,homo sapiens,ACTB,1
P68032,homo sapiens,ACTC,1
P63261,homo sapiens,ACTG,1
Q01718,homo sapiens,ACTHR,1
P63267,homo sapiens,ACTH,1
Q9H568,homo sapiens,ACTL8,1
Q8TC94,homo sapiens,ACTL9,1
Q5BKX5,homo sapiens,ACTMP,1
P12814,homo sapiens,ACTN1,1
P35609,homo sapiens,ACTN2,1
Q08043,homo sapiens,ACTN3,1
